num_vertices,edge_probability,algorithm,execution_time
100,0.001,dijkstra,1.2399999832268804e-05
100,0.001,dijkstra,1.049999991664663e-05
100,0.001,dijkstra,8.700000762473792e-06
100,0.001,dijkstra,5.899993993807584e-06
100,0.001,dijkstra,1.0600000678095967e-05
100,0.001,sssp_duan_et_al,1.840000186348334e-05
100,0.001,sssp_duan_et_al,1.1100004485342652e-05
100,0.001,sssp_duan_et_al,1.649999467190355e-05
100,0.001,sssp_duan_et_al,1.6099998902063817e-05
100,0.001,sssp_duan_et_al,1.8800004909280688e-05
100,0.0001,dijkstra,7.400005415547639e-06
100,0.0001,dijkstra,5.30000397702679e-06
100,0.0001,dijkstra,4.599998646881431e-06
100,0.0001,dijkstra,5.30000397702679e-06
100,0.0001,dijkstra,5.399997462518513e-06
100,0.0001,sssp_duan_et_al,1.3700002455152571e-05
100,0.0001,sssp_duan_et_al,1.2600001355167478e-05
100,0.0001,sssp_duan_et_al,1.2399999832268804e-05
100,0.0001,sssp_duan_et_al,1.2700002116616815e-05
100,0.0001,sssp_duan_et_al,3.619999915827066e-05
100,1e-05,dijkstra,5.000001692678779e-06
100,1e-05,dijkstra,4.5000051613897085e-06
100,1e-05,dijkstra,4.800000169780105e-06
100,1e-05,dijkstra,4.4000043999403715e-06
100,1e-05,dijkstra,4.699999408330768e-06
100,1e-05,sssp_duan_et_al,1.3700002455152571e-05
100,1e-05,sssp_duan_et_al,1.309999788645655e-05
100,1e-05,sssp_duan_et_al,1.6200006939470768e-05
100,1e-05,sssp_duan_et_al,1.5300000086426735e-05
100,1e-05,sssp_duan_et_al,1.2800002878066152e-05
1000,0.001,dijkstra,0.0002597999991849065
1000,0.001,dijkstra,0.0003539000026648864
1000,0.001,dijkstra,0.00031070000113686547
1000,0.001,dijkstra,0.0002390000008745119
1000,0.001,dijkstra,0.00021230000129435211
1000,0.001,sssp_duan_et_al,2.7800000680144876e-05
1000,0.001,sssp_duan_et_al,2.0699997548945248e-05
1000,0.001,sssp_duan_et_al,0.00010309999925084412
1000,0.001,sssp_duan_et_al,2.7000001864507794e-05
1000,0.001,sssp_duan_et_al,1.979999797185883e-05
1000,0.0001,dijkstra,5.959999543847516e-05
1000,0.0001,dijkstra,4.960000660503283e-05
1000,0.0001,dijkstra,6.859999848529696e-05
1000,0.0001,dijkstra,3.809999907389283e-05
1000,0.0001,dijkstra,4.389999958220869e-05
1000,0.0001,sssp_duan_et_al,2.9299997549969703e-05
1000,0.0001,sssp_duan_et_al,2.3799999326001853e-05
1000,0.0001,sssp_duan_et_al,2.720000338740647e-05
1000,0.0001,sssp_duan_et_al,2.2000000171829015e-05
1000,0.0001,sssp_duan_et_al,2.4900000425986946e-05
1000,1e-05,dijkstra,1.5899997379165143e-05
1000,1e-05,dijkstra,1.2499993317760527e-05
1000,1e-05,dijkstra,1.4299999747890979e-05
1000,1e-05,dijkstra,2.3500004317611456e-05
1000,1e-05,dijkstra,1.460000203223899e-05
1000,1e-05,sssp_duan_et_al,2.7099995349999517e-05
1000,1e-05,sssp_duan_et_al,2.479999966453761e-05
1000,1e-05,sssp_duan_et_al,2.3300002794712782e-05
1000,1e-05,sssp_duan_et_al,1.809999957913533e-05
1000,1e-05,sssp_duan_et_al,1.9199993403162807e-05
10000,0.001,dijkstra,0.024984399999084417
10000,0.001,dijkstra,0.026004100000136532
10000,0.001,dijkstra,0.028821799998695496
10000,0.001,dijkstra,0.024921299998823088
10000,0.001,dijkstra,0.030665700003737584
10000,0.001,sssp_duan_et_al,0.04132200000458397
10000,0.001,sssp_duan_et_al,0.052059299996471964
10000,0.001,sssp_duan_et_al,0.044273100000282284
10000,0.001,sssp_duan_et_al,0.04123499999695923
10000,0.001,sssp_duan_et_al,0.03185400000074878
10000,0.0001,dijkstra,0.0027192999987164512
10000,0.0001,dijkstra,0.002555200000642799
10000,0.0001,dijkstra,0.0024810000031720847
10000,0.0001,dijkstra,0.002726299993810244
10000,0.0001,dijkstra,0.0026853000017581508
10000,0.0001,sssp_duan_et_al,9.7999996796716e-05
10000,0.0001,sssp_duan_et_al,0.00014200000441633165
10000,0.0001,sssp_duan_et_al,2.25000039790757e-05
10000,0.0001,sssp_duan_et_al,9.760000102687627e-05
10000,0.0001,sssp_duan_et_al,9.90999978967011e-05
10000,1e-05,dijkstra,0.00045310000132303685
10000,1e-05,dijkstra,0.0003906999991158955
10000,1e-05,dijkstra,0.0004529000070760958
10000,1e-05,dijkstra,0.00048209999658865854
10000,1e-05,dijkstra,0.0004734999965876341
10000,1e-05,sssp_duan_et_al,7.760000153211877e-05
10000,1e-05,sssp_duan_et_al,1.9800005247816443e-05
10000,1e-05,sssp_duan_et_al,2.4599998141638935e-05
10000,1e-05,sssp_duan_et_al,2.9599999834317714e-05
10000,1e-05,sssp_duan_et_al,1.8800004909280688e-05
