num_vertices,avg_degree_k,algorithm,execution_time,edge_estimate,graph
10000,5,dijkstra,0.011858699028380215,50000,n10000k5.00i0
10000,5,sssp_duan_et_al,0.01933083700714633,50000,n10000k5.00i0
10000,5,dijkstra,0.012268109014257789,50000,n10000k5.00i1
10000,5,sssp_duan_et_al,0.017014521989040077,50000,n10000k5.00i1
10000,5,dijkstra,0.011800987005699426,50000,n10000k5.00i2
10000,5,sssp_duan_et_al,0.020118696033023298,50000,n10000k5.00i2
10000,5,dijkstra,0.01220092101721093,50000,n10000k5.00i3
10000,5,sssp_duan_et_al,0.018087406002450734,50000,n10000k5.00i3
10000,5,dijkstra,0.012247377017047256,50000,n10000k5.00i4
10000,5,sssp_duan_et_al,0.0186670949915424,50000,n10000k5.00i4
10000,4.5,dijkstra,0.010847940982785076,45000.0,n10000k4.50i0
10000,4.5,sssp_duan_et_al,0.019089960027486086,45000.0,n10000k4.50i0
10000,4.5,dijkstra,0.011294352996628731,45000.0,n10000k4.50i1
10000,4.5,sssp_duan_et_al,0.018077701970469207,45000.0,n10000k4.50i1
10000,4.5,dijkstra,0.011347462015692145,45000.0,n10000k4.50i2
10000,4.5,sssp_duan_et_al,0.016806404979433864,45000.0,n10000k4.50i2
10000,4.5,dijkstra,0.011384301993530244,45000.0,n10000k4.50i3
10000,4.5,sssp_duan_et_al,0.018999977968633175,45000.0,n10000k4.50i3
10000,4.5,dijkstra,0.011531194963026792,45000.0,n10000k4.50i4
10000,4.5,sssp_duan_et_al,0.0201577499974519,45000.0,n10000k4.50i4
10000,4,dijkstra,0.00999498798046261,40000,n10000k4.00i0
10000,4,sssp_duan_et_al,0.01676375704118982,40000,n10000k4.00i0
10000,4,dijkstra,0.010709599999245256,40000,n10000k4.00i1
10000,4,sssp_duan_et_al,0.01856335299089551,40000,n10000k4.00i1
10000,4,dijkstra,0.010022043017670512,40000,n10000k4.00i2
10000,4,sssp_duan_et_al,0.018107966985553503,40000,n10000k4.00i2
10000,4,dijkstra,0.009945278987288475,40000,n10000k4.00i3
10000,4,sssp_duan_et_al,0.01741444499930367,40000,n10000k4.00i3
10000,4,dijkstra,0.010109254973940551,40000,n10000k4.00i4
