num_vertices,avg_degree_k,algorithm,execution_time,edge_estimate,graph
10,1,dijkstra,2.3412000000000432e-05,10,n10k1.00i0
10,1,sssp_duan_et_al,0.00019926499999999708,10,n10k1.00i0
10,1,dijkstra,1.4313000000001908e-05,10,n10k1.00i1
10,1,sssp_duan_et_al,4.209499999999894e-05,10,n10k1.00i1
10,1,dijkstra,1.932699999999954e-05,10,n10k1.00i2
10,1,sssp_duan_et_al,0.00013812000000000546,10,n10k1.00i2
10,1,dijkstra,7.53189999999973e-05,10,n10k1.00i3
10,1,sssp_duan_et_al,0.00040902500000000036,10,n10k1.00i3
10,1,dijkstra,1.4593999999999718e-05,10,n10k1.00i4
10,1,sssp_duan_et_al,4.648900000000372e-05,10,n10k1.00i4
10,0.5,dijkstra,9.72400000000262e-06,5.0,n10k0.50i0
10,0.5,sssp_duan_et_al,2.296499999999979e-05,5.0,n10k0.50i0
10,0.5,dijkstra,1.4879000000002363e-05,5.0,n10k0.50i1
10,0.5,sssp_duan_et_al,8.641499999999941e-05,5.0,n10k0.50i1
10,0.5,dijkstra,1.552999999999971e-05,5.0,n10k0.50i2
10,0.5,sssp_duan_et_al,7.556400000000019e-05,5.0,n10k0.50i2
10,0.5,dijkstra,1.3677000000003603e-05,5.0,n10k0.50i3
10,0.5,sssp_duan_et_al,3.65979999999988e-05,5.0,n10k0.50i3
10,0.5,dijkstra,1.3354000000000144e-05,5.0,n10k0.50i4
10,0.5,sssp_duan_et_al,3.25849999999947e-05,5.0,n10k0.50i4
50,1,dijkstra,3.6012999999994466e-05,50,n50k1.00i0
50,1,sssp_duan_et_al,4.3341000000002294e-05,50,n50k1.00i0
50,1,dijkstra,2.1494000000003843e-05,50,n50k1.00i1
50,1,sssp_duan_et_al,3.1025000000003966e-05,50,n50k1.00i1
50,1,dijkstra,3.3075000000000465e-05,50,n50k1.00i2
50,1,sssp_duan_et_al,0.00023999700000000568,50,n50k1.00i2
50,1,dijkstra,2.4361999999999995e-05,50,n50k1.00i3
50,1,sssp_duan_et_al,0.00017965500000000079,50,n50k1.00i3
50,1,dijkstra,2.9390000000004135e-05,50,n50k1.00i4
50,1,sssp_duan_et_al,6.112400000000268e-05,50,n50k1.00i4
50,0.5,dijkstra,3.213600000000205e-05,25.0,n50k0.50i0
50,0.5,sssp_duan_et_al,4.783700000000196e-05,25.0,n50k0.50i0
50,0.5,dijkstra,2.5056000000002465e-05,25.0,n50k0.50i1
50,0.5,sssp_duan_et_al,0.00012496999999999509,25.0,n50k0.50i1
50,0.5,dijkstra,2.17679999999984e-05,25.0,n50k0.50i2
50,0.5,sssp_duan_et_al,0.00013968400000000103,25.0,n50k0.50i2
50,0.5,dijkstra,1.6663000000000094e-05,25.0,n50k0.50i3
50,0.5,sssp_duan_et_al,0.000111145,25.0,n50k0.50i3
50,0.5,dijkstra,2.02459999999946e-05,25.0,n50k0.50i4
50,0.5,sssp_duan_et_al,0.00010236599999999957,25.0,n50k0.50i4
100,1,dijkstra,6.211500000000147e-05,100,n100k1.00i0
100,1,sssp_duan_et_al,4.322200000000248e-05,100,n100k1.00i0
100,1,dijkstra,2.928399999999748e-05,100,n100k1.00i1
100,1,sssp_duan_et_al,8.237300000000364e-05,100,n100k1.00i1
100,1,dijkstra,3.6838999999996846e-05,100,n100k1.00i2
100,1,sssp_duan_et_al,0.00021953300000000786,100,n100k1.00i2
100,1,dijkstra,3.424699999998726e-05,100,n100k1.00i3
100,1,sssp_duan_et_al,0.00013720500000000135,100,n100k1.00i3
100,1,dijkstra,3.351999999999522e-05,100,n100k1.00i4
100,1,sssp_duan_et_al,0.00011735200000000112,100,n100k1.00i4
100,0.5,dijkstra,1.9889999999994634e-05,50.0,n100k0.50i0
100,0.5,sssp_duan_et_al,7.089200000000295e-05,50.0,n100k0.50i0
100,0.5,dijkstra,1.7761000000005023e-05,50.0,n100k0.50i1
100,0.5,sssp_duan_et_al,1.8252999999995856e-05,50.0,n100k0.50i1
100,0.5,dijkstra,1.776000000000555e-05,50.0,n100k0.50i2
100,0.5,sssp_duan_et_al,4.929800000000317e-05,50.0,n100k0.50i2
100,0.5,dijkstra,1.8703999999994392e-05,50.0,n100k0.50i3
100,0.5,sssp_duan_et_al,2.0692000000002708e-05,50.0,n100k0.50i3
100,0.5,dijkstra,1.6965999999993264e-05,50.0,n100k0.50i4
100,0.5,sssp_duan_et_al,1.4168999999994436e-05,50.0,n100k0.50i4
